hr,proper,dist,mag,absmag,spect,ci,rarad,decrad,con
5154,N/A,160.5136,4.630,-1.398,M2IIIvar,"rgb(255, 0, 147)",3.581145192058288,0.9543745496709937,UMa
5084,N/A,83.7521,5.560,0.945,A2m...,"rgb(231, 213, 0)",3.582006424782079,-1.4972489071177737,Oct
5149,N/A,102.9866,5.630,0.566,G9III,"rgb(255, 208, 196)",3.5824590618041094,0.3926252131709438,Boo
5162,N/A,68.2128,5.850,1.681,A2V,"rgb(219, 206, 0)",3.5844589690142614,1.1313645032477913,Dra
5146,N/A,216.4502,6.600,-0.077,A1V,"rgb(217, 205, 0)",3.584532293154224,-0.40927639557780376,Hya
5150,N/A,156.2500,5.030,-0.939,M2III,"rgb(255, 0, 148)",3.5849628000972906,-0.15189572927418749,Vir
5141,N/A,83.1947,4.990,0.390,B8Vn+...,"rgb(198, 193, 0)",3.5855454553147488,-0.9522416057130175,Cen
5147,N/A,421.9409,6.580,-1.546,M3e,"rgb(255, 190, 155)",3.5856020067507495,-0.5863848690405663,Cen
5140,N/A,239.8082,5.380,-1.519,B9IV,"rgb(203, 197, 0)",3.5867318872450387,-1.026028070328,Cen
5156,N/A,36.4431,6.160,3.352,F3Vp,"rgb(255, 226, 253)",3.587579734726483,0.14640509656847375,Boo
5203,N/A,122.5490,5.920,0.478,G9III,"rgb(255, 208, 197)",3.5883215149005077,1.4443019756749187,Cam
5160,N/A,279.3296,6.300,-0.931,G6III,"rgb(255, 212, 207)",3.5887476980812107,0.7273534310533525,CVn
5184,N/A,100.7049,5.910,0.895,G7III:,"rgb(255, 208, 197)",3.5895129654380895,1.3624814530423925,UMi
5161,N/A,146.8429,5.980,0.146,G5III,"rgb(255, 213, 209)",3.5898098268997733,0.61067362163316,CVn
5152,N/A,259.7403,6.430,-0.643,M0III,"rgb(255, 2, 137)",3.590624863572406,-0.8864568496791174,Cen
5155,N/A,110.3753,5.960,0.746,K0III,"rgb(255, 208, 195)",3.5906536872483246,-0.722584517945455,Cen
5151,N/A,884.9558,6.000,-3.735,B0.5III,"rgb(191, 187, 0)",3.590732303234718,-0.9907880059248962,Cen
5159,N/A,73.0994,5.350,1.030,K1III,"rgb(255, 205, 189)",3.5912849168354044,0.0617480473431625,Vir
5157,N/A,613.4969,5.960,-2.979,B8III,"rgb(195, 190, 0)",3.593930215738052,-0.7342167568353537,Cen
5164,N/A,170.3578,6.120,-0.037,K4III,"rgb(255, 194, 164)",3.594299195698683,0.39619712271886376,Boo
5163,N/A,128.3697,6.510,0.968,A1V,"rgb(217, 205, 0)",3.5949591368301426,-0.0959745072904525,Vir
5169,N/A,96.0615,6.020,1.107,A1V,"rgb(213, 202, 0)",3.5949989402413856,0.90869543538127,UMa
5158,N/A,119.0476,6.440,1.061,A0p,"rgb(189, 186, 0)",3.5965426184221063,-0.8903352849091825,Cen
5165,N/A,252.5253,5.550,-1.462,G1IV/V,"rgb(255, 214, 214)",3.5975473043555066,-0.2823780828313375,Vir
5166,N/A,158.7302,6.210,0.207,K3III,"rgb(255, 197, 168)",3.598699364842202,-0.44507524647792995,Hya
5177,N/A,34.5901,6.470,3.775,F7IV-V,"rgb(255, 224, 245)",3.6006989414077823,0.9752786236081751,UMa
5170,N/A,106.0445,6.180,1.053,A0V,"rgb(216, 204, 0)",3.6022918831551327,-0.27519421107921127,Vir
5167,N/A,87.0322,5.810,1.112,A0V,"rgb(214, 203, 0)",3.602424721369655,-0.45581035196884123,Hya
5168,N/A,19.4024,4.230,2.791,F3V,"rgb(253, 226, 0)",3.6027447947701434,-0.576721733706365,Cen
5173,N/A,124.6883,5.500,0.021,G8III,"rgb(255, 211, 205)",3.603837246361441,-0.2168838236304275,Vir
5179,N/A,52.5486,5.880,2.277,A5V,"rgb(234, 215, 0)",3.605091524770928,0.7171339034317901,CVn
5180,N/A,130.7190,5.920,0.338,G9III,"rgb(255, 210, 201)",3.605491707451888,0.6720150391897675,CVn
5187,N/A,89.0472,5.680,0.932,B9p EuCr,"rgb(201, 195, 0)",3.6066984699372284,0.95002947368041,UMa
5172,N/A,80.5153,4.640,0.111,G8/K0III,"rgb(255, 210, 201)",3.6069682912109653,-0.8976711039450862,Cen
5182,N/A,89.6861,5.970,1.206,F6IV-V,"rgb(255, 223, 241)",3.607255528995246,0.4485886456356275,Boo
5174,N/A,133.8688,5.150,-0.483,A0V,"rgb(207, 200, 0)",3.6082030486465033,-0.6327155838437637,Cen
5183,N/A,31.6656,6.330,3.827,G0V,"rgb(255, 220, 231)",3.6082590794661606,0.11083495309253875,Vir
5186,N/A,97.1817,5.510,0.572,K0III+...,"rgb(255, 207, 194)",3.60845342792378,0.6726969668842387,CVn
5171,N/A,740.7407,6.400,-2.948,A7V,"rgb(255, 115, 0)",3.6092585221076283,-1.092396593261575,Cen
5178,N/A,186.5672,6.040,-0.314,K5III,"rgb(255, 195, 165)",3.6094429836978525,-0.16946196259571247,Vir
5185,N/A,15.6177,4.500,3.532,F7V,"rgb(255, 223, 243)",3.609614063826422,0.304680487380455,Boo
5181,N/A,207.4689,5.410,-1.175,M2III,"rgb(255, 0, 148)",3.6103146387845686,-0.3117129937539525,Vir
5175,N/A,64.8508,5.920,1.860,A3m...,"rgb(241, 219, 0)",3.610476747881142,-0.8770155667960713,Cen
5191,Alkaid,31.8674,1.850,-0.667,B3V SB,"rgb(191, 187, 0)",3.6108299012782816,0.8606788389261799,UMa
5176,N/A,152.6718,5.460,-0.459,K2III,"rgb(255, 197, 170)",3.6112743784301284,-0.8782615884051163,Cen
