hr,proper,ra,dec,dist,mag,absmag,spect,ci,con
4870,NaN,12.916219,-85.123369,107.8749,5.450,0.285,K0III,0.991,Oct
4903,NaN,12.916269,-44.151968,40.0962,5.890,2.874,G2IV,0.633,Cen
4906,NaN,12.922067,-42.915732,202.8398,5.460,-1.076,M0III,1.668,Cen
4916,NaN,12.924598,65.438474,29.2912,5.230,2.896,A5n,0.303,Dra
4910,NaN,12.926725,3.397470,60.8273,3.390,-0.530,M3III,1.571,Vir
4911,NaN,12.931457,-15.327025,196.0784,6.180,-0.282,A0V,-0.001,Crv
4908,NaN,12.932538,-56.835806,100000.0000,5.340,-14.660,O9Ib,0.010,Cru
4914,NaN,12.933468,38.314912,36.9004,5.610,2.775,F0V,0.337,CVn
4915,Cor Caroli,12.933807,38.318380,35.1989,2.890,0.157,A0spe...,-0.115,CVn
4917,NaN,12.938221,54.099489,86.6551,5.840,1.151,A5m,0.204,UMa
4912,NaN,12.941703,-26.460291,100000.0000,6.730,-13.270,F3Ia,0.728,Hya
4907,NaN,12.942142,-72.185212,176.3668,5.930,-0.302,G8III,1.115,Mus
4913,NaN,12.951212,-51.198752,112.9944,5.170,-0.095,B8V,-0.066,Cen
4919,NaN,12.952166,46.176789,104.3841,6.110,1.017,K0III-IV,1.012,CVn
4918,NaN,12.959203,-22.753499,118.9061,6.310,0.934,K0III,1.069,Hya
4927,NaN,12.979809,75.472508,166.1130,6.000,-0.102,K0III,1.030,Dra
4920,NaN,12.982068,17.409446,99.4036,4.760,-0.227,M0III,1.568,Com
4921,NaN,12.994310,-3.811926,77.9423,5.790,1.331,A3V,0.203,Vir
4928,NaN,12.998665,66.597272,191.5709,5.370,-1.042,K2III,1.282,Dra
4924,NaN,13.004576,30.785021,202.4291,4.880,-1.651,K1IIIp,1.165,Com
4922,NaN,13.009074,-33.505267,41.5282,6.010,2.918,F3V,0.386,Cen
4925,NaN,13.009985,-3.368488,100.3009,5.990,0.983,K2III,1.119,Vir
4926,NaN,13.010755,18.373009,39.2927,6.200,3.228,F6Vs,0.466,Com
4931,NaN,13.012125,56.366338,25.4453,4.930,2.902,F2V,0.368,UMa
4929,NaN,13.019337,17.123147,124.6883,5.970,0.491,K0III,0.971,Com
4934,NaN,13.029737,63.610225,36.8868,6.010,3.176,F6V,0.427,Dra
4932,Vindemiatrix,13.036278,10.959150,33.6022,2.850,0.218,G8IIIvar,0.934,Vir
4923,NaN,13.037759,-71.548855,27.8707,3.610,1.384,K2III,1.190,Mus
4936,NaN,13.044566,59.716306,193.0502,6.500,0.072,A3Vn,0.055,UMa
4930,NaN,13.051487,-71.475729,306.7485,5.930,-1.504,B1.5IIIne,0.002,Mus
4933,NaN,13.059256,-49.527264,67.6133,4.830,0.680,A0V,0.029,Cen
4935,NaN,13.062808,-20.583497,28.2087,5.580,3.328,F7V,0.554,Vir
4937,NaN,13.065117,-3.663143,155.0388,6.620,0.668,F0V,0.296,Vir
4938,NaN,13.080066,-41.196322,364.9635,6.240,-1.571,M3/M4III,1.649,Cen
4950,NaN,13.080492,73.024976,120.1923,6.430,1.031,F0V,0.218,UMi
4939,NaN,13.091888,-52.115660,310.5590,6.430,-1.031,M1III,1.690,Cen
4943,NaN,13.095678,35.798899,104.3841,5.200,0.107,B9V,-0.059,CVn
4945,NaN,13.097853,45.268550,132.6260,5.640,0.027,K1III,1.135,CVn
