hr,proper,ra,dec,dist,mag,absmag,spect,ci,con
8273,N/A,21.657808,-10.576896,94.1620,6.070,1.201,K0,"rgb(255, 175, 194)",Cap
8277,N/A,21.659240,2.243558,69.4444,5.100,0.892,K0III,"rgb(255, 175, 194)",Aqr
8269,N/A,21.666590,-52.359010,173.9130,6.200,-0.002,F7III,"rgb(255, 187, 235)",Ind
8278,N/A,21.668181,-16.662308,48.1464,3.690,0.277,A7III:mp...,"rgb(246, 187, 0)",Cap
8284,N/A,21.669749,43.273839,123.7624,5.090,-0.373,M1IIIvar,"rgb(255, 0, 152)",Cyg
8271,N/A,21.676029,-55.737977,221.2389,6.330,-0.394,K0III-IV,"rgb(255, 174, 192)",Ind
8290,N/A,21.678696,54.872149,219.7802,6.160,-0.550,K0III,"rgb(255, 173, 187)",Cyg
8254,N/A,21.691253,-77.390046,21.1999,3.730,2.098,K0III,"rgb(255, 176, 196)",Oct
8283,N/A,21.692462,-14.047611,33.2336,5.160,2.552,G2V,"rgb(255, 185, 226)",Cap
8291,N/A,21.692850,40.805222,152.2070,6.070,0.158,A2V,"rgb(219, 174, 0)",Cyg
8282,N/A,21.696171,-25.101516,205.7613,6.510,-0.057,K1III,"rgb(255, 171, 182)",PsA
8317,N/A,21.698652,71.311417,55.9284,4.550,0.812,K0III,"rgb(255, 173, 188)",Cep
8285,N/A,21.700192,-23.262858,70.7214,5.240,0.992,K0III,"rgb(255, 176, 197)",Cap
8297,N/A,21.700301,35.510200,625.0000,5.980,-2.999,C6.3,"rgb(255, 62, 0)",Cyg
8301,N/A,21.701573,51.189622,529.1005,4.690,-3.928,B3IV,"rgb(187, 156, 0)",Cyg
8298,N/A,21.702321,45.765697,209.6436,6.110,-0.497,M4.5,"rgb(255, 165, 166)",Cyg
8287,N/A,21.702809,1.285253,342.4658,5.660,-2.013,K2III,"rgb(255, 164, 164)",Aqr
8289,N/A,21.704292,5.680137,223.7136,5.300,-1.448,M2III,"rgb(255, 1, 142)",Peg
8300,N/A,21.706376,41.077019,126.4223,5.730,0.221,A0V,"rgb(217, 173, 0)",Cyg
8292,N/A,21.709155,10.824314,214.5923,6.060,-0.598,B5IV,"rgb(188, 157, 0)",Peg
8304,N/A,21.710780,49.600257,311.5265,6.100,-1.367,G8II,"rgb(255, 176, 197)",Cyg
8288,N/A,21.710973,-18.866323,90.1713,4.720,-0.055,G8III,"rgb(255, 179, 208)",Cap
8312,N/A,21.712603,59.270844,335.5705,6.100,-1.529,K1III,"rgb(255, 167, 170)",Cep
8324,N/A,21.717806,72.320084,74.9625,5.180,0.806,K0III,"rgb(255, 174, 192)",Cep
8295,N/A,21.717888,-14.399709,133.5113,5.880,0.252,A9/F0V,"rgb(239, 184, 0)",Cap
8306,N/A,21.718465,41.154970,196.8504,5.510,-0.961,M2III,"rgb(255, 0, 150)",Cyg
8293,N/A,21.720425,-19.620961,108.5776,6.230,1.051,A0m...,"rgb(240, 185, 0)",Cap
8307,N/A,21.723791,38.283589,84.1751,5.690,1.064,A0V,"rgb(207, 169, 0)",Cyg
8316,N/A,21.725127,58.780046,100000.0000,4.230,-15.770,M2Ia,"rgb(255, 62, 0)",Cep
8302,N/A,21.733602,-14.749370,52.9942,5.960,2.339,A7IV/V,"rgb(235, 182, 0)",Cap
8309,N/A,21.735710,28.742632,22.2370,4.490,2.755,F6V,"rgb(255, 189, 243)",Cyg
8308,Enif,21.736433,9.875011,211.4165,2.380,-4.246,K2Ibvar,"rgb(255, 162, 160)",Peg
8299,N/A,21.741516,-38.552530,265.9574,6.280,-0.844,K1IIICN...,"rgb(255, 173, 186)",Gru
8313,N/A,21.741860,17.350017,284.0909,4.340,-2.927,G5Ib,"rgb(255, 172, 184)",Peg
8314,N/A,21.742035,14.771939,17.8859,5.960,4.697,G0V,"rgb(255, 187, 235)",Peg
8315,N/A,21.744092,25.645036,34.2231,4.140,1.468,F5IV,"rgb(255, 191, 252)",Peg
8327,N/A,21.748134,62.460567,917.4312,5.940,-3.873,O9II,"rgb(245, 187, 0)",Cep
8305,N/A,21.749113,-33.025781,62.6174,4.350,0.367,B9.5V,"rgb(199, 163, 0)",PsA
8311,N/A,21.750071,-9.082428,242.7184,5.100,-1.826,G8II-III,"rgb(255, 173, 188)",Cap
